,GHECOM,CAVER,Fpocket,KVFinder suite
A1,1362.4,1778,1387.362,1399.36
B1,175.1,395.7,247.298,283.39
B2,192,339.4,279.301,283.14
B3,190.5,335.1,277.213,268.66
B4,343,473.8,434.423,437.61
B5,29.2,65.4,84.33,77.92
B6,63.5,79.1,82.099,80.86
B7,733.7,777.9,770.98,757.19
B8,704,681.5,804.544,731.3
B9,159.2,173.3,180.937,155.28
B10,161.3,350.6,225.294,250.69
B11,400.9,456.7,481.536,496.08
B12,605.7,742.3,627.392,737.09
B13,752.1,1031.4,811.388,872.38
C1,668.7,569.2,616.923,558.11
F1,654.8,480.8,482.616,462.77
F2,59146.8,22940.5,39077.113,37728.29
H1,428.5,215.4,210.748,225.81
N1,460.8,543.1,494.979,487.95
O1,146.4,198.6,176.605,160.14
O2,NA,NA,NA,36.05
W1,935.9,1008.4,541.874,865.91
